WORD,CATEGORY,WEIGHT
humans,INDIVIDUALISM,1
humanity,INDIVIDUALISM,1
worldwide,INDIVIDUALISM,1
universal,INDIVIDUALISM,1
mankind,INDIVIDUALISM,1
everyone,INDIVIDUALISM,1
collective,INDIVIDUALISM,1
global,INDIVIDUALISM,1
equity,INDIVIDUALISM,1
imagination,INDIVIDUALISM,1
cooperate,INDIVIDUALISM,1
cooperation,INDIVIDUALISM,1
shared,INDIVIDUALISM,1
joint,INDIVIDUALISM,1
identity,INDIVIDUALISM,1
guilt,INDIVIDUALISM,1
diversity,INDIVIDUALISM,1
humankind,INDIVIDUALISM,0.6544663
human,INDIVIDUALISM,0.5777024
societal,INDIVIDUALISM,0.5680487
interdependence,INDIVIDUALISM,0.54777795
oneness,INDIVIDUALISM,0.54757243
universality,INDIVIDUALISM,0.5473495
mutual,INDIVIDUALISM,0.5369236
solidarity,INDIVIDUALISM,0.5344857
unity,INDIVIDUALISM,0.53390807
interconnectedness,INDIVIDUALISM,0.5313452
communal,INDIVIDUALISM,0.5233885
mutuality,INDIVIDUALISM,0.51913184
human-kind,INDIVIDUALISM,0.509768
inclusiveness,INDIVIDUALISM,0.50695723
world,INDIVIDUALISM,0.50398487
connectedness,INDIVIDUALISM,0.50297743
commonality,INDIVIDUALISM,0.5028265
society,INDIVIDUALISM,0.50250703
empathy,INDIVIDUALISM,0.50221914
interconnectivity,INDIVIDUALISM,0.50123155
duties,COLLECTIVISM,1
responsibilities,COLLECTIVISM,1
role,COLLECTIVISM,1
community,COLLECTIVISM,1
sacrifice,COLLECTIVISM,1
shame,COLLECTIVISM,1
required,COLLECTIVISM,1
rules,COLLECTIVISM,1
honor,COLLECTIVISM,1
support,COLLECTIVISM,1
rely,COLLECTIVISM,1
loyal,COLLECTIVISM,1
respect,COLLECTIVISM,1
obedience,COLLECTIVISM,1
responsibility,COLLECTIVISM,0.7125127
obligations,COLLECTIVISM,0.712348
roles,COLLECTIVISM,0.8057447
sacrifices,COLLECTIVISM,0.8434576
sacrificing,COLLECTIVISM,0.768462
sacrificed,COLLECTIVISM,0.7623905
necessary,COLLECTIVISM,0.7614778
rule,COLLECTIVISM,0.7062423
honour,COLLECTIVISM,0.7659365
honoring,COLLECTIVISM,0.74424314
supporting,COLLECTIVISM,0.7308852
depend,COLLECTIVISM,0.7844991
repect,COLLECTIVISM,0.75485927
duty,COLLECTIVISM,0.584575
loyalty,COLLECTIVISM,0.5576047
obligation,COLLECTIVISM,0.54836977
devotion,COLLECTIVISM,0.54667354
uphold,COLLECTIVISM,0.5439262
allegiance,COLLECTIVISM,0.5370363
commitment,COLLECTIVISM,0.5360131
obey,COLLECTIVISM,0.5281607
fealty,COLLECTIVISM,0.5225147
commitments,COLLECTIVISM,0.5123823
deference,COLLECTIVISM,0.5105954
dutiful,COLLECTIVISM,0.5072216
responsibilty,COLLECTIVISM,0.5067856
regard,COLLECTIVISM,0.5056756
dedication,COLLECTIVISM,0.5042203
