WORD,CATEGORY,WEIGHT
humans,INDIVIDUALISM,1
humanity,INDIVIDUALISM,1
worldwide,INDIVIDUALISM,1
universal,INDIVIDUALISM,1
mankind,INDIVIDUALISM,1
everyone,INDIVIDUALISM,1
collective,INDIVIDUALISM,1
global,INDIVIDUALISM,1
equity,INDIVIDUALISM,1
imagination,INDIVIDUALISM,1
cooperate,INDIVIDUALISM,1
cooperation,INDIVIDUALISM,1
shared,INDIVIDUALISM,1
joint,INDIVIDUALISM,1
identity,INDIVIDUALISM,1
guilt,INDIVIDUALISM,1
diversity,INDIVIDUALISM,1
duties,COLLECTIVISM,1
responsibilities,COLLECTIVISM,1
role,COLLECTIVISM,1
community,COLLECTIVISM,1
sacrifice,COLLECTIVISM,1
shame,COLLECTIVISM,1
required,COLLECTIVISM,1
rules,COLLECTIVISM,1
honor,COLLECTIVISM,1
support,COLLECTIVISM,1
rely,COLLECTIVISM,1
loyal,COLLECTIVISM,1
respect,COLLECTIVISM,1
obedience,COLLECTIVISM,1
