WORD,CATEGORY,WEIGHT
love,COLLECTIVISM,1
trust,COLLECTIVISM,1
do,COLLECTIVISM,1
act,COLLECTIVISM,1
faithful,COLLECTIVISM,1
care,COLLECTIVISM,1
respect,COLLECTIVISM,1
understand,COLLECTIVISM,1
deserve,COLLECTIVISM,1
loyal,COLLECTIVISM,1
actions,COLLECTIVISM,1
loving,COLLECTIVISM,1
caring,COLLECTIVISM,1
faith,COLLECTIVISM,1
accept,COLLECTIVISM,1
loyalty,COLLECTIVISM,1
trusting,COLLECTIVISM,1
praise,COLLECTIVISM,1
depend,COLLECTIVISM,1
willing,COLLECTIVISM,1
faithfulness,COLLECTIVISM,1
appreciate,COLLECTIVISM,1
honesty,COLLECTIVISM,1
unworthy,COLLECTIVISM,1
affection,COLLECTIVISM,1
unconditionally,COLLECTIVISM,1
disrespect,COLLECTIVISM,1
betrayed,COLLECTIVISM,1
conform,COLLECTIVISM,1
cherish,COLLECTIVISM,1
respects,COLLECTIVISM,1
burdens,COLLECTIVISM,1
obligations,COLLECTIVISM,1
respecting,COLLECTIVISM,1
sacrificing,COLLECTIVISM,1
unconditional,COLLECTIVISM,1
commands,COLLECTIVISM,1
sacrifice,COLLECTIVISM,1
disrespecting,COLLECTIVISM,1
obedience,COLLECTIVISM,1
sacrifices,COLLECTIVISM,1
obey,COLLECTIVISM,1
expectation,COLLECTIVISM,1
abide,COLLECTIVISM,1
devotion,COLLECTIVISM,1
willingness,COLLECTIVISM,1
betray,COLLECTIVISM,1
responsibilities,COLLECTIVISM,1
salute,COLLECTIVISM,1
faithfully,COLLECTIVISM,1
dictate,COLLECTIVISM,1
shame,COLLECTIVISM,1
admiration,COLLECTIVISM,1
neglecting,COLLECTIVISM,1
consequence,COLLECTIVISM,1
enforce,COLLECTIVISM,1
selfless,COLLECTIVISM,1
humility,COLLECTIVISM,1
expectations,COLLECTIVISM,1
commitments,COLLECTIVISM,1
servant,COLLECTIVISM,1
respected,COLLECTIVISM,1
kindness,COLLECTIVISM,1
neglect,COLLECTIVISM,1
respectful,COLLECTIVISM,1
ideals,COLLECTIVISM,1
protect,COLLECTIVISM,1
fulfilling,COLLECTIVISM,1
vow,COLLECTIVISM,1
fulfilled,COLLECTIVISM,1
betrayal,COLLECTIVISM,1
oath,COLLECTIVISM,1
owe,COLLECTIVISM,1
owed,COLLECTIVISM,1
understanding,COLLECTIVISM,1
sacrificed,COLLECTIVISM,1
commitment,COLLECTIVISM,1
acknowledge,COLLECTIVISM,1
dependent,COLLECTIVISM,1
morals,COLLECTIVISM,1
cooperation,COLLECTIVISM,1
duties,COLLECTIVISM,1
burden,COLLECTIVISM,1
privileges,COLLECTIVISM,1
fulfill,COLLECTIVISM,1
esteem,COLLECTIVISM,1
allegiance,COLLECTIVISM,1
virtue,COLLECTIVISM,1
obligated,COLLECTIVISM,1
dedication,COLLECTIVISM,1
heed,COLLECTIVISM,1
accountability,COLLECTIVISM,1
beliefs,COLLECTIVISM,1
violate,COLLECTIVISM,1
disregard,COLLECTIVISM,1
strict,COLLECTIVISM,1
freedoms,COLLECTIVISM,1
responsibility,COLLECTIVISM,1
obligation,COLLECTIVISM,1
despise,COLLECTIVISM,1
demands,COLLECTIVISM,1
ethic,COLLECTIVISM,1
pride,COLLECTIVISM,1
principle,COLLECTIVISM,1
discipline,COLLECTIVISM,1
conscience,COLLECTIVISM,1
welfare,COLLECTIVISM,1
abandon,COLLECTIVISM,1
reward,COLLECTIVISM,1
traditions,COLLECTIVISM,1
desire,COLLECTIVISM,1
honorable,COLLECTIVISM,1
rely,COLLECTIVISM,1
deserving,COLLECTIVISM,1
honoring,COLLECTIVISM,1
necessity,COLLECTIVISM,1
oversight,COLLECTIVISM,1
work,COLLECTIVISM,1
willingly,COLLECTIVISM,1
sense,COLLECTIVISM,1
mandate,COLLECTIVISM,1
task,COLLECTIVISM,1
accountable,COLLECTIVISM,1
honour,COLLECTIVISM,1
