WORD,CATEGORY,WEIGHT
restrain,TIGHT,1
prevent,TIGHT,1
comply,TIGHT,1
constrain,TIGHT,1
uniformity,TIGHT,1
adhere,TIGHT,1
enforce,TIGHT,1
proscribe,TIGHT,1
abide,TIGHT,1
dictate,TIGHT,1
circumscribe,TIGHT,1
impose,TIGHT,1
uphold,TIGHT,1
discourage,TIGHT,1
compel,TIGHT,1
forbid,TIGHT,1
confine,TIGHT,1
govern,TIGHT,1
prohibit,TIGHT,1
preclude,TIGHT,1
preempt,TIGHT,1
prevents,TIGHT,1
interfere,TIGHT,1
supersede,TIGHT,1
protect,TIGHT,1
satisfy,TIGHT,1
preclude,TIGHT,1
violate,TIGHT,1
confines,TIGHT,1
legislate,TIGHT,1
forestall,TIGHT,1
abided,TIGHT,1
fulfill,TIGHT,1
impinge,TIGHT,1
dissuade,TIGHT,1
rein,TIGHT,1
accede,TIGHT,1
derogate,TIGHT,1
analogize,TIGHT,1
restrains,TIGHT,0.8445322513580322
restraining,TIGHT,0.7721849679946899
constrains,TIGHT,0.9211092591285706
constraining,TIGHT,0.867581844329834
constrained,TIGHT,0.8476194143295288
enforcing,TIGHT,0.8482917547225952
enforced,TIGHT,0.8178734183311462
enforces,TIGHT,0.7790447473526001
proscribes,TIGHT,0.9235628247261047
proscribing,TIGHT,0.910300076007843
proscribed,TIGHT,0.8825213313102722
dictates,TIGHT,0.7829628586769104
circumscribes,TIGHT,0.9630346894264221
circumscribing,TIGHT,0.9564246535301208
circumscribed,TIGHT,0.9365288615226746
imposed,TIGHT,0.8086850047111511
imposes,TIGHT,0.7758103609085083
reimpose,TIGHT,0.7623891830444336
encourage,TIGHT,0.7563943266868591
forbids,TIGHT,0.8073980808258057
forbidding,TIGHT,0.7904816269874573
prohibits,TIGHT,0.9040325880050659
prohibiting,TIGHT,0.9007604122161865
forbidding,TIGHT,0.7540522217750549
precludes,TIGHT,0.8861640095710754
precluding,TIGHT,0.8195276856422424
precluded,TIGHT,0.7958082556724548
safeguard,TIGHT,0.762385368347168
violates,TIGHT,0.8711352348327637
violated,TIGHT,0.839042603969574
violating,TIGHT,0.8274458646774292
contravene,TIGHT,0.7864769697189331
contravenes,TIGHT,0.75724196434021
legislated,TIGHT,0.8330697417259216
forestalling,TIGHT,0.8658058047294617
fulfil,TIGHT,0.8814116716384888
curtail,TIGHT,0.73967487
restrict,TIGHT,0.72302425
impede,TIGHT,0.6796238
circumvent,TIGHT,0.679498
inhibit,TIGHT,0.6768328
hinder,TIGHT,0.654378
thwart,TIGHT,0.6525039
abrogate,TIGHT,0.65132153
regulate,TIGHT,0.64778745
stymie,TIGHT,0.6460294
undermine,TIGHT,0.6398601
disallow,TIGHT,0.63768953
usurp,TIGHT,0.6368216
nullify,TIGHT,0.63471967
obviate,TIGHT,0.6346346
impair,TIGHT,0.63014054
overrule,TIGHT,0.6277337
stipulate,TIGHT,0.62500674
subvert,TIGHT,0.6220413
obstruct,TIGHT,0.61903155
enjoin,TIGHT,0.6168912
subjugate,TIGHT,0.616884
deter,TIGHT,0.61553156
deprive,TIGHT,0.6152805
vitiate,TIGHT,0.60965335
imperil,TIGHT,0.6072585
conform,TIGHT,0.60600156
codify,TIGHT,0.60593003
diminish,TIGHT,0.6040862
quash,TIGHT,0.6038945
defy,TIGHT,0.6021729
enact,TIGHT,0.6021561
oppose,TIGHT,0.6016264
flout,TIGHT,0.60067165
ameliorate,TIGHT,0.5988994
legitimize,TIGHT,0.5964293
countermand,TIGHT,0.5955699
entrench,TIGHT,0.59478194
supplant,TIGHT,0.5947419
suppress,TIGHT,0.59383005
construe,TIGHT,0.5937438
endanger,TIGHT,0.5937109
enshrine,TIGHT,0.5915912
punish,TIGHT,0.5909053
penalize,TIGHT,0.5908436
encumber,TIGHT,0.59075975
stifle,TIGHT,0.5903811
induce,TIGHT,0.589795
promulgate,TIGHT,0.58958983
acquiesce,TIGHT,0.5894429
transgress,TIGHT,0.58913547
annul,TIGHT,0.58894295
prescribe,TIGHT,0.5882336
obliterate,TIGHT,0.58788484
weaken,TIGHT,0.58725774
negate,TIGHT,0.5870214
effectuate,TIGHT,0.58637077
supercede,TIGHT,0.58613896
constrict,TIGHT,0.5860693
subsume,TIGHT,0.5855698
displace,TIGHT,0.5820976
criminalize,TIGHT,0.5814249
eschew,TIGHT,0.58142024
encroach,TIGHT,0.58138365
frustrate,TIGHT,0.5813498
coerce,TIGHT,0.58075047
abolish,TIGHT,0.5805761
attenuate,TIGHT,0.57941234
debar,TIGHT,0.5788337
jeopardize,TIGHT,0.57690585
annihilate,TIGHT,0.5766626
exclude,TIGHT,0.5755326
implicate,TIGHT,0.57530254
contradict,TIGHT,0.5733746
delineate,TIGHT,0.5728163
threaten,TIGHT,0.57256645
abridge,TIGHT,0.57145333
necessitate,TIGHT,0.5710147
antagonize,TIGHT,0.57024807
alter,TIGHT,0.56969047
repudiate,TIGHT,0.569288
invalidate,TIGHT,0.5686704
mollify,TIGHT,0.56725156
evade,TIGHT,0.56646985
rescind,TIGHT,0.5655453
aggravate,TIGHT,0.5646522
overturn,TIGHT,0.5624786
outstrip,TIGHT,0.56247234
perturb,TIGHT,0.5619548
infringe,TIGHT,0.5617511
legitimise,TIGHT,0.5614246
eliminate,TIGHT,0.560967
vindicate,TIGHT,0.56054324
instigate,TIGHT,0.5595774
forswear,TIGHT,0.5579639
allow,TIGHT,0.5577802
admonish,TIGHT,0.55764496
facilitate,TIGHT,0.55730885
sidestep,TIGHT,0.557122
lessen,TIGHT,0.5568479
engender,TIGHT,0.5561612
obligate,TIGHT,0.55584276
spurn,TIGHT,0.5553171
chastise,TIGHT,0.5548692
intrude,TIGHT,0.5546517
condone,TIGHT,0.5546498
stigmatize,TIGHT,0.5543589
disrupt,TIGHT,0.55333495
eradicate,TIGHT,0.5528441
counteract,TIGHT,0.5524097
