WORD,WEIGHT
duties,1
responsibilities,1
role,1
community,1
sacrifice,1
shame,1
required,1
rules,1
honor,1
support,1
rely,1
loyal,1
respect,1
obedience,1
roles,0.8057447
sacrifices,0.8434576
sacrificing,0.768462
sacrificed,0.7623905
necessary,0.7614778
honour,0.7659365
depend,0.7844991
repect,0.75485927
responsibility,0.5964696
duty,0.584575
obligations,0.5710125
loyalty,0.5576047
obligation,0.54836977
devotion,0.54667354
uphold,0.5439262
allegiance,0.5370363
commitment,0.5360131
obey,0.5281607
fealty,0.5225147
commitments,0.5123823
deference,0.5105954
dutiful,0.5072216
responsibilty,0.5067856
regard,0.5056756
dedication,0.5042203
faithful,0.4980635
obedient,0.49467653
shirking,0.49305102
subservience,0.49243248
responsiblity,0.4919444
demands,0.4902111
committment,0.4900692
authority,0.48872134
trust,0.48841327
shirk,0.48614833
fulfill,0.4860572
reverence,0.48591694
upholding,0.48579392
respecting,0.48530254
enforce,0.48402932
obeying,0.48397246
shirked,0.48067936
respects,0.4805299
faithfulness,0.47979882
entrusted,0.477504
ethic,0.4773562
fulfil,0.47388986
dictates,0.4735782
leadership,0.4734555
honoring,0.47201473
forsake,0.4708601
importance,0.4702619
honorable,0.46950996
selfless,0.46931875
dignity,0.46886313
respected,0.46742412
tenets,0.46727747
integrity,0.46658388
act,0.46613058
subservient,0.46601
loyally,0.4655789
principle,0.4651605
ideals,0.4651307
principles,0.4608022
disregard,0.4602291
steadfast,0.4598611
discipline,0.4596017
abdicate,0.45892063
willingly,0.45840567
fulfilling,0.4583618
unquestioning,0.45811328
honors,0.45784622
diligence,0.45727816
disrespect,0.45695072
selflessness,0.45644552
revere,0.45576254
-respect,0.45468563
mandate,0.4545137
responsible,0.45400655
delegated,0.45349365
fidelity,0.45343706
prerogatives,0.4532772
paramount,0.4519487
strict,0.4518154
