WORD,WEIGHT
humans,1
humanity,1
worldwide,1
universal,1
mankind,1
everyone,1
collective,1
global,1
equity,1
imagination,1
cooperate,1
cooperation,1
shared,1
joint,1
identity,1
guilt,1
diversity,1
humankind,0.84866333
humankind,0.91271216
man-kind,0.80570143
cooperating,0.7932191
identities,0.80744684
human,0.5777024
societal,0.5680487
interdependence,0.54777795
oneness,0.54757243
universality,0.5473495
mutual,0.5369236
solidarity,0.5344857
unity,0.53390807
interconnectedness,0.5313452
communal,0.5233885
mutuality,0.51913184
human-kind,0.509768
inclusiveness,0.50695723
world,0.50398487
connectedness,0.50297743
commonality,0.5028265
society,0.50250703
empathy,0.50221914
interconnectivity,0.50123155
individuality,0.49732527
peoples,0.496316
togetherness,0.49461055
interdependency,0.49189636
individualism,0.49070495
collectivity,0.49036852
ecological,0.4890028
equality,0.48643863
transnational,0.48537794
social,0.48536736
whole-world,0.4838851
societies,0.4832144
inclusivity,0.48291254
individual,0.48234397
transcendence,0.48034793
interrelatedness,0.48005837
nations,0.47891372
solidary,0.47889376
communality,0.47780812
cultural,0.4777836
creativity,0.47745562
nonkilling,0.47638935
belief,0.47633854
inherent,0.47605297
civilizational,0.47511396
harmony,0.474132
collaboration,0.47396252
humanism,0.47329774
brotherhood,0.47306845
altruism,0.47273085
innate,0.4719133
collectivism,0.47121453
morality,0.4704719
knowledge,0.4689576
compassion,0.46876985
betterment,0.46814752
economic,0.46637094
collaborative,0.46607763
rationality,0.4648874
interpersonal,0.4648199
consciousness,0.46478504
non-human,0.46454352
pluralism,0.4644282
overarching,0.46395063
united,0.46359038
interdependent,0.46349365
intersubjective,0.46333534
globalized,0.46309063
communitarian,0.46276987
understanding,0.4610441
collectivist,0.4610299
benevolence,0.4607366
interrelations,0.46051908
intercultural,0.46034938
civilization,0.46030658
openness,0.46027416
planetary,0.46007532
humanness,0.459995
humanistic,0.45957133
religions,0.45935288
community,0.4590311
cosmic,0.45891228
multinational,0.45842934
globality,0.45722157
participation,0.4568801
sociality,0.4568752
beings,0.45633653
awareness,0.45620772
capitalism,0.45541656
nature,0.45530218
eternal,0.45515883
moral,0.4542705
oppression,0.45325598
common,0.452729
institutional,0.4524755
governmental,0.4523297
technological,0.45187837
transcultural,0.45159975
international,0.45065922
teamwork,0.45025793
democratic,0.45011836
